"run_id","habitat_patches"
"119413915440904C",3
"119461292357935B",11
"119493766559167B",9
"119568085963549C",14
"119570866330425D",4
"119604865769210A",6
"119650947153682E",2
"119654154342501E",4
"11972064982058C",12
"119776577881349D",12
"119778189353080D",2
"11989342113832E",17
"119995170760167B",9
"120094904998603D",12
"120105964239259D",4
"120203113399675B",2
"120217975012608B",6
"120277622881461D",2
"120322569767740C",4
"120359276298490C",5
"120363385759808D",3
"120450213143902C",4
"120458750457056A",15
"120473809193011A",15
"120478822157427D",18
"120493814531951C",14
"120552730037691B",9
"120574049933087C",13
"12057660795564B",15
"120628743178260E",18
"120630950449051E",2
"120635455359210C",11
"120675894291572A",10
"120691779615712C",3
"120717840176399A",2
"120726140911525C",4
"120747442765952D",2
"120763520367166C",2
"120804825170952D",6
"120812446115465E",9
"120855515255104A",7
"121116514026638D",4
"121157341481453D",17
"121169550598055E",11
"12118336547063C",2
"121244516463976A",12
"121300661594451A",4
"121319898895054E",6
"121351219431222C",13
"121364803200377E",11
"121365560113658C",9
"121419523658635A",2
"121429318474324D",2
"121490822756443E",10
"121507079478398D",4
"121564289288795B",11
"121589904837830E",7
"121621819326218A",11
"1216308619710C",16
"121883488826051D",16
"121893752512249A",12
"121902097097226A",4
"121960865905599B",2
"122058613999846A",15
"12207877034716D",12
"122131862177031E",4
"122196656063314B",22
"122200835290405B",6
"122246470689488A",13
"122287014488441B",2
"122287681692380A",2
"122305257250906A",3
"122321839756861D",11
"122351770816618E",14
"122358992244293A",9
"122369771957704A",4
"122377111567962C",12
"122506534888181D",9
"12258677154523E",8
"12268588807366C",13
"122698492902627A",11
"122719764436418A",11
"122732529622717D",6
"122819725381672C",14
"122826448187353C",11
"12283485861603C",13
"122959544585811C",12
"123053513833817D",7
"123096027070409B",2
"123117376044922D",10
"123120138965846A",11
"123167171446189B",5
"123180865296459D",10
"123193462300630D",13
"123215042329126D",2
"123245735283679C",18
"12346934361058B",2
"123479170696127A",12
"123564798005430A",2
"12357192589200E",10
"123591955791873C",10
"123598401234493A",6
"123621964890230B",10
"123721392754413D",6
"123740270506002A",15
"123842153828227A",4
"123974299875188A",4
"124015601799855A",10
"124030324413952D",9
"1240471646973D",3
"124066992255848E",15
"124072735198310D",2
"124149783615089B",3
"124154994987454C",13
"124156186203998D",13
"124172332412169A",7
"124174443040433C",3
"124197173641533B",11
"124199597999324D",7
"124248951153207B",14
"124402991254982A",12
"124418246402263C",4
"124662325749722E",9
"124678211730531D",5
"12478568707477A",19
"124811582126814C",9
"124860751136681C",12
"124895897872479C",9
"12491686966790D",2
"125016997837934D",2
"125058331608671C",11
"125107926953949D",16
"12513216159643A",2
"125153839823877D",4
"125190770642885C",14
"125208271192979C",7
"12530971048628C",13
"125368745064570C",9
"125430847680053D",13
"125472988842704B",2
"125557172440367D",7
"125580722597529D",10
"125663241319363B",14
"125663323954917E",13
"125666812758777B",19
"125666849113241E",2
"125765069282315C",17
"125824581569200E",14
"125850563538367B",16
"125876367317015A",3
"125932848342511E",17
"12595952918468B",17
"125973172371445D",3
"12599213140902D",7
"126024491583996A",2
"126047576042538D",12
"12606281409464B",4
"12607076099839D",12
"126073234333909D",11
"12614409135905A",4
"12616782413068D",5
"1261913214865B",14
"126198289173272B",7
"126203172990893E",4
"126252981372821A",2
"126259140419645B",11
"126444370692913E",13
"126466739480421C",6
"126469664148886C",10
"126541998333556A",11
"126542522133915E",6
"126643032184835D",10
"126736428997144E",10
"126803140042396E",12
"126858301760696E",13
"126876621630188A",3
"126909705433333A",4
"127004930543033D",2
"12703695949490B",6
"127141811518126D",8
"127172920853817E",6
"127174671210010A",12
"127185532580776C",2
"127209729268842C",7
"127261754968502D",8
"127300708143490C",4
"127364245512487E",3
"127409936396605D",10
"127426046453258B",11
"127582573240010A",9
"127605308985417C",7
"127753490946731E",6
"12775924798864C",5
"127794465049454C",3
"127937669616404A",13
"127972408391677D",16
"128016458815477A",6
"128115119302246D",15
"12811715220024B",3
"128146611375316C",6
"128154263945441A",12
"128162523206981C",14
"128192766589993D",13
"128207698887954C",15
"128297468671631E",4
"12834546287327A",8
"128409356378300B",7
"128411028044851B",15
"128418737589492C",11
"128424945302478A",19
"128472708827311A",10
"128486571439370D",15
"128494776406993B",11
"128500250017808E",2
"128520119826460A",12
"128599539810815E",7
"128642212141663E",5
"128658218878549D",10
"128668326612111B",5
"128696656748404B",16
"128869429732216B",10
"128929070410939C",15
"129032172746466A",5
"129060176835479C",13
"129061934328663A",6
"12906798073775D",6
"129077700351924A",8
"129131192938478B",2
"12915939955328E",9
"129178605515245C",4
"129296935613516C",4
"129310613828919E",14
"129413512610834C",15
"129490204206693D",15
"129490974127745E",7
"129555737325463D",2
"129579086819718D",12
"12958289136905D",6
"129641255304935D",12
"129656503851087A",14
"12970589180307E",6
"129735232021626D",8
"129775512754506A",2
"129847638381025D",4
"129859912916235B",5
"129881510698878A",15
"129918308254622E",2
"129920307586326B",2
"129951234877608B",8
"130003556990464A",5
"130008259591391D",10
"13001946117971D",5
"130079501983088D",3
"130123562791754B",11
"130135383244256B",17
"130198231851384E",2
"130280783770032E",2
"130370150784148B",13
"130392363613962D",18
"13044764865713B",4
"130448945375465D",14
"130474404989892C",2
"130475716930871C",3
"130559111797903A",2
"130589319887360E",7
"130607753474069D",2
"130666848657187C",8
"130691363757830A",15
"130692106757023E",8
"130694890360928A",13
"130701408108555A",6
"130712861542837D",3
"130726457004628D",4
"130823046900564D",4
"130827021209885E",6
"130925386230051B",3
"130940745576929E",10
"131045402877960A",3
"131050116865498D",10
"131062740904473D",14
"131163841415469D",3
"131167828734050C",4
"131171978194087B",14
"131187799233075E",15
"13119572150583C",8
"131355391888572B",10
"131405545102306C",5
"131427784484101E",4
"131433751697624D",6
"13147957994451C",5
"131633572720241D",14
"131665657303801E",13
"131701980891366B",10
"131731168558420A",12
"131767871332776E",9
"131783402670361B",4
"131825350788081E",3
"131832613522283C",5
"131897900423470D",12
"131900092237548B",7
"131982668062278C",16
"132022231799485D",16
"132037713694910D",14
"132040762703364C",11
"132053806314110C",10
"132158586724325A",12
"132159019724059C",9
"132259240911297D",2
"132350217533947E",9
"132471405171075D",15
"132500162048005B",2
"132606956651697D",3
"132628679889657B",5
"132675186520283A",3
"132714133131049B",6
"132770920907123D",7
"132874204346332D",10
"132996353453655E",3
"133044093506984B",4
"133067422027397D",9
"133076357118135C",9
"133123681490374B",3
"133148690243423D",3
"133184506755688D",11
"133272433491405C",10
"13327794053369B",2
"133374608976986A",11
"133384303708949C",4
"133397009077897C",2
"133433126166281E",7
"133442048546440A",7
"133457381503102B",13
"13348759477214E",15
"133515038443675B",2
"133639067599903A",17
"133671280104994C",7
"133686167829159D",14
"133715953725800A",18
"133736609207515B",10
"133786996068278E",15
"134002738705685B",11
"134052800053878E",11
"134210225878952D",2
"134224347326028C",3
"134346661108829B",19
"13435719046208A",3
"13438948520264D",9
"134440522667791B",4
"134451404515467D",2
"13450698219063A",2
"134558205764838B",15
"134605832785979E",8
"134824399040193B",6
"134870641091386E",3
"134961497907457D",2
"134966985284563D",5
"134977068257172D",7
"135102177939417B",14
"135115424616203D",11
"135207044204191E",9
"135227087231046C",3
"135269527250877A",11
"135276658139383C",15
"135424076712623B",10
"135538792357206D",13
"135587907342291C",6
"135677659007519D",3
"135779688605159E",9
"135820611202227D",5
"135853456203232D",10
"135910379726399A",11
"135968469608827B",3
"135992801779246B",8
"136125246659522D",13
"136137594687084E",2
"136241824169925E",7
"136269651209884E",6
"136317636666188A",12
"136375371916405A",3
"136400479300675C",8
"136423066052852D",8
"136434754590138E",11
"136495941002768D",5
"136510998714083E",3
"136521697858153A",7
"136552185296027D",7
"136569832539375B",15
"136668922000747D",2
"136727174794209D",3
"136855403599195C",12
"136876790266475A",12
"136914507985103A",2
"136984633653224E",10
"137004930060266A",13
"137129706246660C",3
"137248172218032B",11
"137283473222743C",4
"137285799323857C",4
"137297059249369D",7
"137304394773091D",6
"137315354954630D",8
"137322431229410B",14
"137396384026036E",12
"137407747527089E",13
"137413090430209A",12
"137472658769612E",4
"137503467949104D",11
"137518436875479A",14
"137561871457678C",9
"137599552485506A",10
"137615824744131A",14
"13771447211747D",14
"137721694963871D",12
"137726859092907B",7
"137915315197758E",6
"138014866166445A",6
"138068287623549A",8
"138093408324615D",11
"138098569570156D",3
"138150908164966E",5
"138174712191158C",3
"13817736826703D",11
"13819901331394C",7
"138244618390102C",12
"138249960167054E",3
"138265774533166A",10
"13840614169229C",10
"138428374121506A",15
"138456133758960C",5
"138458442902388A",5
"138547630066975D",6
"138604170506193A",11
"138621314955583B",18
"138649401124260B",5
"138702402880988E",13
"138711496664537B",4
"138751988631332B",4
"13879091569294D",14
"138808777495619A",10
"138809837555934E",11
"138828551418802A",2
"138867019418340B",10
"138870857898814D",3
"13887239115749A",6
"138875622666175B",8
"138880290942647B",12
"138942159180003E",10
"138950734180385A",12
"139025377511293C",5
"139043184966729B",16
"139063203679941D",6
"139080694268943B",4
"139176086229003A",11
"139295008027814B",9
"139301360949908A",13
"139370428254212B",15
"139376409720791A",18
"13939921045329D",6
"139420355402280D",2
"139487301458894A",2
"13952120208980C",5
"139596725732159E",2
"139649942863352B",9
"13965994455278B",13
"139781845119799D",4
"139797649535584D",7
"139904144471864C",15
"139917348566641C",11
"140096364600504D",2
"140099712602975A",6
"140140685343183E",12
"140142076703009D",11
"14027198601133D",7
"140290651219825A",12
"140300397492704C",11
"140301540306281D",4
"140329911422529E",9
"140377572787761D",3
"140425055513475C",7
"140463315641260B",9
"14047403420352A",18
"140474443478045A",3
"14053591295585A",2
"140600000963643C",2
"140602343139166D",4
"140680911201080B",14
"140695123991050C",7
"140719501763016B",6
"140796313405325E",4
"140895614913698E",16
"140931744949669D",7
"140949102212463A",3
"141003688118033E",7
"141042367795263B",13
"141092575365752A",7
"141124269775048C",8
"141130132458403D",13
"141182197270499C",6
"141186449861470B",17
"141267634507653B",3
"14127677756552B",7
"141293090343575D",9
"141333973547137E",6
"141376552911150A",10
"141387567376532E",8
"141415531608057C",4
"141474279311016E",4
"14158260996700C",4
"141626264698003C",16
"141655626151653C",12
"141664272344192C",8
"141743529779125D",12
"141857474135030E",18
"141901139911734B",12
"141917356886377A",3
"141948480932005B",2
"14196216812241B",3
"142012456503229E",2
"142021716082388D",2
"14204537556054A",2
"142090242562116A",13
"142165060345688C",5
"142169806584445D",4
"142193808705063B",11
"142322318370217B",12
"142358540934354E",12
"142415634732578E",8
"142461925674154C",8
"142572704390912E",11
"142575419908762E",7
"142578711560245D",15
"142623409822999A",15
"142715525007295B",11
"14272316847807D",7
"14275568987884D",2
"142784379320221D",11
"142833179936807C",14
"142844843890517E",6
"142881304276829D",17
"142887942556353E",16
"143109917538163D",18
"143165776012755B",3
"143177478725099E",8
"143185262918605E",13
"143203962467402C",7
"143224682148747E",16
"143226916039832D",10
"143286977266937E",11
"143316562486714E",17
"143337495968030C",8
"143366420398912B",10
"143379475140981B",4
"1433866261774C",4
"143407332344208B",10
"143510564945645C",14
"143511357090512A",6
"143517586835D",14
"143525967253453A",12
"143546606596713D",9
"143562296374839E",11
"143607888902060C",7
"143634036505769C",10
"143638439819637B",12
"143790070035572E",7
"143822746083890E",2
"143888336786979B",10
"143896483290589A",10
"143918182170882E",9
"143937422406323E",11
"143980552502696C",8
"144115832024379B",15
"144228221613535B",11
"144234863810473D",8
"144254469459986D",9
"144261810734594E",8
"144281490236471B",17
"144304796382192E",16
"144358813967819E",14
"144455501148267E",14
"144487307841257E",8
"144506486193175C",7
"144512299319492C",7
"14452493646311D",17
"144531504169533D",10
"144541384304172D",3
"144575250430557B",11
"144643450427234D",14
"144662460001851D",3
"144662782541044C",4
"144698142044748C",12
"144788222101121C",3
"144794333980363E",9
"144810220942729E",2
"144813601323704B",7
"144843156879233A",5
"144999770847531D",15
"14503212946211C",5
"145038000269651C",4
"145039340209355A",8
"145055688369277B",9
"145060612098119C",12
"145080297483932C",2
"145085399011281E",4
"145117020402346A",9
"145185666514388B",11
"145203561345760A",4
"145274523788309D",3
"145321348923774A",17
"145326227616366C",11
"145418286387811A",5
"145422279832714E",17
"145481198052270B",18
"145492994717205B",13
"145533687910041B",11
"145548069976797B",10
"145566284289555A",2
"145692775340599C",12
"145714164185403B",6
"145761736739526C",2
"145777219485512A",4
"145791202055021E",6
"145851693201096E",17
"14590301951661B",14
"14594718264965D",16
"145955900303829A",3
"145976518190222E",10
"146025051681038A",6
"146093781300595D",4
"146100380112378B",11
"146124897850712D",4
"146172733495711B",19
"146240260711909D",10
"146271142208709B",5
"146307451424120C",5
"146310567772831E",11
"14632230199306C",8
"14634274092309A",10
"146371592036536B",4
"146398582230902D",3
"146418117513313D",11
"146425324218753A",11
"146540788506177D",2
"146550059743337A",3
"146581021549683A",4
"146589157601871D",4
"146634749723636A",8
"146706406734868B",10
"146809308436758B",15
"146815060886122A",12
"147076988475297B",8
"147089957966417B",2
"147095255711417D",2
"147182650675458C",4
"147297174570154B",14
"147360649471806D",12
"147407492898837D",11
"147612955335355B",6
"147675373540010D",5
"147678824330317B",11
"147737086722116B",14
"14777419717242E",6
"147820866639023D",3
"147842378017714A",3
"147883941758800C",7
"147913670821411D",9
"14796014783192D",15
"147966668915174E",3
"147985624636167C",9
"148018483531253D",10
"148023226221746C",8
"148081215768658C",13
"148232508524B",8
"148308452848433A",2
"148319838338054E",5
"148362583276608C",10
"148409063496479E",4
"148549738467629E",20
"148587394102305D",11
"148643268010262E",3
"148679529105820C",2
"148700424427695E",17
"148738320223299B",3
"148752602413784C",8
"148754620079080B",11
"148764697912391C",2
"148775552995277A",13
"14879365562909D",3
"14880505895776E",3
"148808959894293A",5
"148870013701174B",4
"148948723461570D",3
"148985039803977B",6
"148985850628861E",12
"149023950734053A",18
"149031718641032C",15
"149109161855666D",3
"149128182477108D",4
"149151666829935B",4
"149180663947172A",5
"149255285481789C",2
"149372860677579D",15
"149408951916431D",7
"149418921954412B",11
"149424154993135B",9
"149448673379619A",5
"149510830625322D",2
"14956654987700A",2
"149599475461897E",2
"149604813609847D",13
"149652589821613C",5
"149688547652712D",13
"149737869605082B",3
"149816900344258E",10
"149826400713802B",6
"149895751385111B",3
"14992370887127C",18
"14994261335687E",10
"14994895042310E",2
"149961249908752C",14
"150066181398784A",19
"15015891312658D",5
"150163675308200C",3
"15017061800174E",9
"150185107870668E",7
"15021961726589E",2
"150285234820142C",3
"150303888208872A",12
"150386215207058B",7
"150398961772572A",8
"150432351861101B",12
"150445763859182A",6
"150472729199120D",13
"15049942680431C",9
"150511379097764D",5
"150525716068217C",4
"150606882237003B",14
"150615596233161E",16
"15070472035232B",2
"150710364655021D",12
"150720690509838A",10
"150737138746192D",3
"150877361754362C",5
"150932746465848E",13
"150948343009810D",12
"150976935796117B",2
"151098406647448B",9
"151114967347594D",13
"151146196396987B",2
"151219651543955A",5
"151237159432941E",12
"151238571369290B",14
"151285503181060D",2
"151307492220520A",2
"151329508458757E",4
"15134103941267A",12
"15143621923180A",5
"151456765852982C",2
"151571251783805D",16
"151662988347101A",15
"151675691156670A",3
"151709520297227D",5
"151724514719444E",11
"151724622131619C",3
"151737000567842B",17
"151752123565766E",4
"151761649407354D",9
"151795563227251D",8
"151797331920053C",4
"151817361923135B",13
"151820342663099D",17
"151825629073326D",19
"151849537668303B",11
"151879664896981C",3
"151884925124312E",3
"151907111074256A",4
"151970658801494B",4
"151986343241616C",5
"151994798931043C",13
"15200578229925C",4
"152063003148453D",3
"152063822831367B",3
"152186461607286B",15
"152228175201955A",9
"152230668937933C",11
"152287851995679A",14
"152336302998486C",4
"152373117321515A",9
"152433916158290E",8
"152451769479041C",13
"152453778610427B",3
"152469470298923B",4
"15247204989395A",4
"152529396589497C",10
"152540303836142D",7
"152544925423341E",8
"152579033571514D",13
"152583339630018C",18
"152597878914145E",17
"152630943890077B",17
"152666679559676E",11
"15269206596727E",10
"15272199043198D",7
"152761193069379E",13
"152854234018930C",14
"152893874093559C",2
"152895747400528A",6
"15292993707956D",13
"152974688166101C",13
"153021471739911C",5
"15303183106940D",16
"153053261938753B",5
"153059720739140D",2
"15309478331263D",11
"15311138140703A",7
"153144789322177C",6
"153185879760626C",3
"15332397657757A",7
"153324090115614D",9
"153370092124080B",9
"153378251489266E",12
"153381959374739A",13
"153467008424884A",13
"153578757491929B",8
"153580470846740C",3
"15359844493832B",5
"153665537077827B",13
"153704809809643A",15
"153706046932372E",2
"153860450066656A",9
"153917182480283C",15
"15391932337796D",3
"153984066854781A",7
"154003173271062B",11
"154176845338324B",8
"154217113356494B",6
"154217318412737C",7
"154244788388954B",15
"15430619415346C",3
"154399089065901E",11
"154451108150939D",5
"154476488991142E",11
"154488788525900E",2
"154493263915297D",15
"154508910846852E",5
"15454739698304E",15
"154633829715379A",5
"154790177765196C",2
"154916117839506C",4
"155000396741336B",12
"155087743987474A",2
"155129173906421C",16
"155159154462016A",3
"15516419545721D",12
"155177897051907C",10
"15520107849784E",2
"155205434469884D",9
"155246720636261B",7
"155290398086534C",13
"15534983431260D",12
"155375514604686A",3
"15539865005780C",9
"155501458568471A",10
"155555053607385E",9
"155561521775933D",14
"155592303685102C",3
"155624124085851A",8
"155626372532255C",14
"155655794405865C",2
"155711116356739D",7
"155718322749059C",5
"155721753873426D",12
"155768664515859D",13
"155783438540401C",8
"155791752604562D",3
"155807727910942A",9
"155962331308084B",8
"156053941426493B",12
"156057723082336E",12
"156062855258992E",2
"156069589500037A",11
"156077912407983D",8
"156104248084588A",3
"156127226965642C",4
"156161089259649D",3
"156173267614343C",11
"156174334380959C",8
"156193823767925A",13
"156246617156301D",7
"156329744910407E",11
"156347400015520A",2
"15639168398768A",13
"156433533731428D",12
"15648154697727E",15
"15665681710090E",13
"156729751816879B",3
"156847383743175C",12
"15684802202441E",13
"156856239768692E",10
"156883873967761B",10
"156950093603133C",5
"156966348831782A",15
"157043658229069E",4
"157051949068031A",15
"15706481246801A",13
"157100774418389D",2
"157216810159949A",13
"157271504456709A",15
"157370048446984B",2
"157427536672611E",13
"157553991386511C",2
"157617649060322D",2
"15762931099034A",8
"157629765298284E",3
"157667769762379D",6
"157726447798335B",12
"157741827952259E",3
"157860783938964E",20
"157935218013206B",3
"157964599556702D",5
